20100101,
22.532,9.602
27.609,8.187
26.756,14.341
19.624,13.129
28.124,10.515
27.961,10.083
27.645,10.889
30.021,11.121
28.784,10.984
29.807,11.217
27.888,12.723
30.982,10.998
30.837,10.35
29.954,11.265
30.04,10.497
31.096,9.265
30.742,8.182
30.524,7.374
30.605,7.243
30.858,7.388
30.251,7.111
29.578,8.568
30.146,9.113
30.623,10.369
29.923,12.673
23.448,12.451
21.02,14.369
26.408,12.349
25.684,13.405
25.811,13.628
28.347,12.831
27.172,14.206
27.38,14.566
29.909,15.874
28.675,13.415
26.049,12.532
23.79,13.915
29.04,12.945
29.499,12.297
29.873,13.377
30.242,15.303
30.417,14.611
29.785,14.138
28.595,14.649
29.139,14.022
27.65,13.891
28.419,14.391
24.219,16.162
30.727,15.905
23.868,16.448
30.111,13.51
32.041,11.945
31.183,13.07
28.451,14.935
27.929,14.968
26.919,14.921
30.606,16.106
30.628,13.961
31.169,11.212
30.64,12.318
31.454,12.761
31.262,13.43
28.914,14.722
26.362,17.011
29.795,14.918
26.898,13.192
23.156,16.919
23.192,16.935
26.669,16.621
25.59,14.958
25.497,14.729
26.118,16.061
23.139,14.79
27.01,15.153
25.72,14.462
25.446,15.359
23.049,13.127
26.674,12.866
26.208,15.564
25.189,16.132
28.015,15.623
22.927,15.41
28.334,12.834
30.66,11.222
31.217,10.854
31.893,10.211
29.821,13.905
29.554,14.674
28.813,16.181
33.174,13.493
33.169,10.933
32.744,11.201
31.095,14.559
27.726,16.005
24.094,13.96
31.805,14.2
32.221,14.983
29.912,15.755
31.989,15.482
30.356,15.682
28.835,15.799
25.605,15.523
26.896,15.113
25.96,15.663
26.624,16.237
25.678,15.538
27.284,15.134
24.623,16.427
25.285,15.801
27.311,16.293
27.642,16.248
25.513,15.827
27.545,15.248
27.703,15.27
25.187,12.513
24.712,11.814
24.824,15.869
24.767,15.26
22.324,11.991
26.074,12.918
25.681,14.958
24.345,11.848
24.817,12.697
24.527,14.698
25.972,14.492
25.458,14.929
30.031,15.368
28.263,15.593
25.27,14.668
29.137,14.384
32.121,11.812
34.056,12.397
27.853,15.459
26.539,15.201
25.171,14.788
25.089,15.606
20.658,9.445
22.64,10.73
26.58,10.205
22.517,14.198
23.444,10.68
27.883,10.256
22.274,8.719
28.371,7.431
29.678,12.881
24.157,14.325
23.232,14.652
23.204,12.29
28.437,11.564
18.853,14.697
31.644,15.22
25.348,15.94
24.414,13.921
21.807,11.063
29.373,12.113
25.074,15.623
24.725,15.047
23.622,13.556
23.745,12.925
16.621,7.967
30.797,7.894
24.029,12.813
23.953,13.801
23.889,13.559
25.639,15.245
25.782,15.303
21.281,15.645
23.167,15.346
24.058,15.95
24.882,14.663
23.327,15.756
17.857,14.719
23.036,14.184
24.538,14.034
29.73,13.735
23.053,15.498
25.122,15.321
22.636,15.299
23.413,13.427
27.957,14.06
22.651,14.834
24.269,14.59
25.118,14.538
21.59,14.553
22.722,14.578
23.744,14.475
22.481,14.748
24.649,13.123
21.65,13.288
22.153,13.203
26.581,12.211
20.759,12.381
19.718,12.082
25.012,12.518
22.67,13.511
22.23,11.555
21.152,14.487
21.782,13.743
26.952,13.766
22.296,13.581
24.546,13.163
23.949,16.312
22.704,15.465
20.195,13.761
23.353,12.956
23.461,11.273
